Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
63,5.5,8.066,0.0,13.566,2018,0,241,66,False,True
64,5.3,8.233,0.0,13.533,2018,0,96,26,False,True
65,5.5,8.033,0.0,13.533,2018,0,58,9,False,True
66,4.9,8.6,0.0,13.5,2018,0,75,19,False,True
67,5.5,8.3,-0.3,13.5,2018,0,274,25,False,True
68,5.5,8.1,-0.1,13.5,2018,0,79,6,False,True
69,5.4,8.1,0.0,13.5,2018,0,73,54,False,True
69,5.4,8.1,0.0,13.5,2018,0,26,60,False,True
71,5.7,7.8,0.0,13.5,2018,0,5,60,False,True
72,5.5,8.266,-0.3,13.466,2018,0,169,68,False,True
73,5.3,8.166,0.0,13.466,2018,0,100,53,False,True
74,5.6,7.866,0.0,13.466,2018,0,175,53,False,True
75,5.5,8.033,-0.1,13.433,2018,0,67,4,False,True
76,5.9,7.833,-0.3,13.433,2018,0,173,31,False,True
77,5.0,8.4,0.0,13.4,2018,0,261,77,False,True
78,5.3,8.066,0.0,13.366,2018,0,83,68,False,True
79,5.1,8.233,0.0,13.333,2018,0,188,37,False,True
80,5.2,8.133,0.0,13.333,2018,0,15,41,False,True
80,5.2,8.133,0.0,13.333,2018,0,294,52,False,True
82,5.6,7.833,-0.1,13.333,2018,0,109,47,False,True
83,6.1,7.633,-0.4,13.333,2018,0,327,8,False,True
84,4.8,8.5,0.0,13.3,2018,0,293,67,False,True
85,5.3,8.0,0.0,13.3,2018,0,64,20,False,True
85,5.3,8.0,0.0,13.3,2018,0,105,73,False,True
87,5.2,8.066,0.0,13.266,2018,0,191,80,False,True
88,5.7,7.566,0.0,13.266,2018,0,187,9,False,True
89,4.9,8.333,0.0,13.233,2018,0,76,19,False,True
90,4.8,8.4,0.0,13.2,2018,0,334,80,False,True
91,5.0,8.2,0.0,13.2,2018,0,317,3,False,True
92,5.1,8.1,0.0,13.2,2018,0,285,4,False,True
93,5.2,8.0,0.0,13.2,2018,0,201,37,False,True
93,5.2,8.0,0.0,13.2,2018,0,330,41,False,True
95,5.3,7.9,0.0,13.2,2018,0,268,80,False,True
96,5.5,7.7,0.0,13.2,2018,0,298,13,False,True
97,5.0,8.166,0.0,13.166,2018,0,156,2,False,True
97,5.0,8.166,0.0,13.166,2018,0,185,46,False,True
99,5.4,7.766,0.0,13.166,2018,0,54,31,False,True
100,5.3,7.933,-0.1,13.133,2018,0,94,66,False,True
101,5.3,7.833,0.0,13.133,2018,0,70,11,False,True
101,5.3,7.833,0.0,13.133,2018,0,264,38,False,True
103,5.0,8.1,0.0,13.1,2018,0,33,27,False,True
