Rank,Athlete,Nation,D,E,ND,year,round,Total
9,oliver hegi,SUI,6.2,8.166,0.0,2019,qual,14.366
10,sun wei,CHN,6.0,8.333,0.0,2019,qual,14.333
11,nikita nagornyy,RUS,5.9,8.4,0.0,2019,qual,14.3
12,niccolo mozzato,ITA,5.4,8.8,0.0,2019,qual,14.200000000000001
13,carlo macchini,ITA,5.7,8.5,0.0,2019,qual,14.2
14,shane wiskus,USA,5.7,8.466,0.0,2019,qual,14.166
15,james hall,none,6.1,8.066,0.0,2019,qual,14.166
16,robert tvorogal,LTU,6.1,7.975,0.0,2019,qual,14.075
17,david belyavskiy,RUS,5.8,8.266,0.0,2019,qual,14.065999999999999
18,kazuma kaya,JPN,6.0,8.066,0.0,2019,qual,14.066
19,ivan stretovich,RUS,6.3,7.766,0.0,2019,qual,14.065999999999999
20,xiao ruoteng,CHN,6.0,8.033,0.0,2019,qual,14.033
20,yuya kamoto,JPN,6.0,8.033,0.0,2019,qual,14.033
22,pablo brägger,SUI,6.2,7.766,0.0,2019,qual,13.966000000000001
23,park min-soo,SKR,5.7,8.2,0.0,2019,qual,13.899999999999999
24,deng shudi,CHN,6.1,7.8,0.0,2019,qual,13.899999999999999
24,milad karimi,KAZ,6.1,7.8,0.0,2019,qual,13.899999999999999
26,eddy yusof,SUI,5.5,8.366,0.0,2019,qual,13.866
27,manrique larduet,CUB,5.9,7.966,0.0,2019,qual,13.866
28,petro pakhniuk,UKR,5.3,8.466,0.0,2019,qual,13.765999999999998
29,bart deurloo,NED,5.5,8.266,0.0,2019,qual,13.766
30,ahmet önder,TUR,5.7,8.033,0.0,2019,qual,13.733
31,lukas dauser,none,5.4,8.3,0.0,2019,qual,13.700000000000001
32,joel plata,ESP,5.9,7.8,0.0,2019,qual,13.7
33,david vecsernyes,HUN,6.0,7.7,0.0,2019,qual,13.7
34,gabriel swan,AUS,5.3,8.366,0.0,2019,qual,13.666
35,andreas toba,none,5.8,7.816,0.0,2019,qual,13.616
36,yerbol jantykov,KAZ,5.2,8.4,0.0,2019,qual,13.600000000000001
37,david jessen,CZE,5.4,8.2,0.0,2019,qual,13.6
37,ryan sheppard,HUN,5.4,8.2,0.0,2019,qual,13.6
37,isaac nunez,MEX,5.4,8.2,0.0,2019,qual,13.6
40,philipp herder,none,5.2,8.366,0.0,2019,qual,13.565999999999999
41,noah kuavita,BEL,6.0,7.566,0.0,2019,qual,13.565999999999999
42,max whitlock,none,5.0,8.533,0.0,2019,qual,13.533
43,jimmy verbaeys,BEL,5.1,8.433,0.0,2019,qual,13.533
44,marios georgiou,CYP,5.5,8.033,0.0,2019,qual,13.533
45,antoine borello,FRA,5.5,8.016,0.0,2019,qual,13.516
46,carlos calvo,COL,5.2,8.3,0.0,2019,qual,13.5
47,samuel zakutney,CAN,5.5,8.0,0.0,2019,qual,13.5
47,alexander shatilov,ISR,5.5,8.0,0.0,2019,qual,13.5
49,alexander benda,AUT,5.6,7.9,0.0,2019,qual,13.5
49,luka van den keybus,BEL,5.6,7.9,0.0,2019,qual,13.5
51,vlad cotuna,ROU,5.4,8.066,0.0,2019,qual,13.466000000000001
52,andrey likhovitskiy,BLR,5.7,7.766,0.0,2019,qual,13.466000000000001
53,karim rida,none,4.8,8.6,0.0,2019,qual,13.399999999999999
54,lee jung-hyo,SKR,5.1,8.266,0.0,2019,qual,13.366
54,frank rijken,NED,5.1,8.266,0.0,2019,qual,13.366
56,randy leru,CUB,6.2,7.166,0.0,2019,qual,13.366
57,andrei muntean,ROU,4.9,8.433,0.0,2019,qual,13.333
58,ferhat arican,TUR,5.1,8.233,0.0,2019,qual,13.333
59,audrys nin reyes,DOM,5.6,7.733,0.0,2019,qual,13.332999999999998
60,lee jun-ho,SKR,5.7,7.633,0.0,2019,qual,13.333
